ride_id,vehicle_type,distance_km,city,timestamp,co2_grams
R000001,electric_bike,6.45,Chennai,2024-07-29 13:08:00,135.45
R000002,diesel_car,28.31,Delhi,2024-01-06 06:06:00,4841.01
R000003,petrol_car,29.51,Delhi,2024-09-14 03:08:00,5665.92
R000004,electric_bike,28.58,Delhi,2024-04-01 21:17:00,600.18
R000005,bus,40.1,Mumbai,2024-09-01 08:03:00,4210.5
R000006,electric_bike,25.55,Bangalore,2024-10-23 15:04:00,536.55
R000007,electric_bike,40.9,Chennai,2024-07-17 14:48:00,858.9
R000008,diesel_car,15.3,Bangalore,2024-06-13 23:47:00,2616.3
R000009,electric_bike,40.82,Pune,2024-10-11 02:38:00,857.22
R000010,bus,28.49,Chennai,2024-03-18 16:34:00,2991.45
R000011,bus,43.17,Mumbai,2024-06-07 23:45:00,4532.85
R000012,petrol_car,9.17,Mumbai,2024-08-31 17:55:00,1760.64
R000013,electric_bike,29.44,Pune,2024-08-29 23:10:00,618.24
R000014,petrol_car,40.4,Mumbai,2024-09-05 00:19:00,7756.8
R000015,bus,42.76,Mumbai,2024-06-03 01:13:00,4489.8
R000016,electric_bike,15.32,Mumbai,2024-02-19 23:51:00,321.72
R000017,petrol_car,16.91,Pune,2024-02-25 15:40:00,3246.72
R000018,petrol_car,16.03,Mumbai,2024-05-07 09:29:00,3077.76
R000019,bus,46.97,Delhi,2024-08-10 18:49:00,4931.85
R000020,diesel_car,4.1,Bangalore,2024-08-12 10:31:00,701.1
R000021,electric_bike,38.91,Chennai,2024-07-23 13:02:00,817.11
R000022,petrol_car,30.36,Chennai,2024-06-22 01:04:00,5829.12
R000023,bus,49.83,Delhi,2024-12-23 09:05:00,5232.15
R000024,diesel_car,45.4,Chennai,2024-01-16 22:36:00,7763.4
R000025,electric_bike,11.9,Mumbai,2024-04-04 20:05:00,249.9
R000026,bus,41.35,Pune,2024-10-14 02:09:00,4341.75
R000027,petrol_car,36.09,Mumbai,2024-09-11 10:29:00,6929.28
R000028,diesel_car,37.42,Chennai,2024-12-01 13:45:00,6398.82
R000029,diesel_car,46.18,Bangalore,2024-03-17 16:48:00,7896.78
R000030,electric_bike,48.92,Mumbai,2024-04-26 15:01:00,1027.32
R000031,petrol_car,27.35,Chennai,2024-09-24 18:55:00,5251.2
R000032,electric_bike,16.85,Pune,2024-11-27 04:52:00,353.85
R000033,electric_bike,36.93,Pune,2024-11-27 02:00:00,775.53
R000034,bus,22.3,Pune,2024-07-16 16:01:00,2341.5
R000035,petrol_car,40.38,Bangalore,2024-06-14 18:30:00,7752.96
R000036,bus,7.44,Pune,2024-12-13 01:26:00,781.2
R000037,diesel_car,28.5,Chennai,2024-02-13 06:31:00,4873.5
R000038,electric_bike,22.23,Pune,2024-05-12 03:12:00,466.83
R000039,electric_bike,8.52,Delhi,2024-01-25 16:01:00,178.92
R000040,diesel_car,12.97,Mumbai,2024-09-23 06:10:00,2217.87
R000041,electric_bike,8.37,Delhi,2024-06-03 18:48:00,175.77
R000042,electric_bike,5.36,Bangalore,2024-01-01 15:56:00,112.56
R000043,electric_bike,7.89,Bangalore,2024-01-25 08:15:00,165.69
R000044,diesel_car,40.54,Delhi,2024-08-31 16:37:00,6932.34
R000045,petrol_car,5.23,Mumbai,2024-07-12 21:19:00,1004.16
R000046,bus,13.99,Bangalore,2024-03-14 00:17:00,1468.95
R000047,bus,44.41,Pune,2024-02-04 14:57:00,4663.05
R000048,electric_bike,20.69,Delhi,2024-12-04 16:49:00,434.49
R000049,electric_bike,46.91,Delhi,2024-02-14 11:41:00,985.11
R000050,electric_bike,24.98,Pune,2024-05-14 11:24:00,524.58
R000051,electric_bike,8.56,Chennai,2024-08-31 03:42:00,179.76
R000052,diesel_car,26.1,Bangalore,2024-10-15 21:28:00,4463.1
R000053,petrol_car,49.15,Delhi,2024-02-20 03:30:00,9436.8
R000054,diesel_car,35.62,Bangalore,2024-12-27 17:34:00,6091.02
R000055,diesel_car,5.34,Bangalore,2024-04-23 20:45:00,913.14
R000056,bus,22.78,Delhi,2024-05-24 19:18:00,2391.9
R000057,electric_bike,34.59,Mumbai,2024-11-21 11:54:00,726.39
R000058,petrol_car,20.77,Bangalore,2024-09-16 08:50:00,3987.84
R000059,bus,46.92,Bangalore,2024-05-03 03:14:00,4926.6
R000060,diesel_car,18.11,Bangalore,2024-03-02 17:47:00,3096.81
R000061,petrol_car,7.68,Mumbai,2024-08-16 09:51:00,1474.56
R000062,electric_bike,11.9,Pune,2024-08-09 09:48:00,249.9
R000063,electric_bike,38.16,Bangalore,2024-04-13 21:46:00,801.36
R000064,petrol_car,32.45,Pune,2024-09-30 15:03:00,6230.4
R000065,electric_bike,19.15,Chennai,2024-08-18 06:16:00,402.15
R000066,electric_bike,8.64,Bangalore,2024-08-22 10:52:00,181.44
R000067,diesel_car,6.25,Bangalore,2024-07-30 10:35:00,1068.75
R000068,diesel_car,7.08,Bangalore,2024-07-31 19:55:00,1210.68
R000069,electric_bike,14.96,Bangalore,2024-02-22 08:27:00,314.16
R000070,electric_bike,15.53,Chennai,2024-01-08 06:59:00,326.13
R000071,bus,43.06,Pune,2024-04-08 07:29:00,4521.3
R000072,electric_bike,10.39,Delhi,2024-10-13 21:04:00,218.19
R000073,diesel_car,47.97,Chennai,2024-10-18 20:21:00,8202.87
R000074,petrol_car,28.31,Delhi,2024-06-24 18:53:00,5435.52
R000075,petrol_car,33.5,Pune,2024-05-09 05:03:00,6432.0
R000076,bus,36.61,Chennai,2024-02-04 20:54:00,3844.05
R000077,petrol_car,45.3,Delhi,2024-08-08 23:41:00,8697.6
R000078,petrol_car,17.31,Mumbai,2024-02-11 16:17:00,3323.52
R000079,diesel_car,30.71,Mumbai,2024-05-13 20:35:00,5251.41
R000080,electric_bike,7.85,Bangalore,2024-02-17 10:19:00,164.85
R000081,bus,31.2,Pune,2024-06-13 17:51:00,3276.0
R000082,bus,29.72,Delhi,2024-11-10 08:22:00,3120.6
R000083,bus,41.29,Bangalore,2024-02-18 16:57:00,4335.45
R000084,petrol_car,29.48,Delhi,2024-05-28 22:08:00,5660.16
R000085,diesel_car,43.06,Chennai,2024-11-23 09:39:00,7363.26
R000086,diesel_car,43.94,Delhi,2024-03-25 00:29:00,7513.74
R000087,electric_bike,34.8,Pune,2024-02-19 07:13:00,730.8
R000088,petrol_car,9.26,Chennai,2024-09-28 07:04:00,1777.92
R000089,bus,28.94,Chennai,2024-07-25 03:06:00,3038.7
R000090,electric_bike,13.54,Mumbai,2024-03-19 08:45:00,284.34
R000091,electric_bike,41.65,Bangalore,2024-12-30 12:02:00,874.65
R000092,bus,23.52,Chennai,2024-07-29 15:09:00,2469.6
R000093,diesel_car,38.21,Pune,2024-08-08 03:12:00,6533.91
R000094,electric_bike,3.42,Bangalore,2024-04-18 16:49:00,71.82
R000095,electric_bike,18.35,Pune,2024-01-20 03:08:00,385.35
R000096,petrol_car,47.4,Delhi,2024-08-14 17:19:00,9100.8
R000097,electric_bike,17.04,Bangalore,2024-07-03 09:20:00,357.84
R000098,electric_bike,31.55,Pune,2024-04-09 13:29:00,662.55
R000099,electric_bike,26.57,Bangalore,2024-06-27 11:54:00,557.97
R000100,petrol_car,20.06,Pune,2024-08-23 05:35:00,3851.52
R000101,electric_bike,38.12,Delhi,2024-06-08 19:59:00,800.52
R000102,electric_bike,19.64,Chennai,2024-01-30 13:17:00,412.44
R000103,petrol_car,46.81,Bangalore,2024-03-19 13:34:00,8987.52
R000104,diesel_car,11.46,Chennai,2024-06-28 15:41:00,1959.66
R000105,electric_bike,17.2,Pune,2024-10-18 06:58:00,361.2
R000106,electric_bike,49.42,Pune,2024-01-15 15:53:00,1037.82
R000107,petrol_car,45.8,Mumbai,2024-02-05 03:52:00,8793.6
R000108,petrol_car,12.18,Mumbai,2024-03-01 10:04:00,2338.56
R000109,petrol_car,35.71,Chennai,2024-02-27 16:03:00,6856.32
R000110,diesel_car,12.67,Chennai,2024-11-15 17:57:00,2166.57
R000111,diesel_car,47.4,Bangalore,2024-03-19 17:15:00,8105.4
R000112,bus,20.23,Pune,2024-02-20 17:23:00,2124.15
R000113,bus,8.63,Chennai,2024-05-03 00:36:00,906.15
R000114,electric_bike,9.62,Bangalore,2024-12-05 14:31:00,202.02
R000115,petrol_car,46.45,Bangalore,2024-03-01 02:09:00,8918.4
R000116,electric_bike,15.41,Chennai,2024-05-20 01:08:00,323.61
R000117,diesel_car,44.75,Chennai,2024-07-28 10:13:00,7652.25
R000118,diesel_car,21.82,Mumbai,2024-06-08 09:19:00,3731.22
R000119,diesel_car,29.47,Delhi,2024-09-16 19:34:00,5039.37
R000120,petrol_car,11.21,Delhi,2024-05-22 00:25:00,2152.32
R000121,petrol_car,41.27,Delhi,2024-09-15 06:05:00,7923.84
R000122,diesel_car,22.56,Chennai,2024-05-18 16:26:00,3857.76
R000123,diesel_car,17.64,Delhi,2024-11-27 23:10:00,3016.44
R000124,electric_bike,38.62,Pune,2024-02-16 04:21:00,811.02
R000125,petrol_car,24.27,Delhi,2024-02-25 17:03:00,4659.84
R000126,bus,50.0,Chennai,2024-04-26 20:00:00,5250.0
R000127,petrol_car,39.92,Mumbai,2024-06-11 17:56:00,7664.64
R000128,bus,45.59,Pune,2024-10-10 13:42:00,4786.95
R000129,bus,20.45,Delhi,2024-05-21 02:03:00,2147.25
R000130,petrol_car,21.04,Bangalore,2024-07-12 08:04:00,4039.68
R000131,diesel_car,37.73,Mumbai,2024-10-06 13:45:00,6451.83
R000132,bus,16.84,Delhi,2024-10-31 02:02:00,1768.2
R000133,diesel_car,12.66,Pune,2024-03-01 22:55:00,2164.86
R000134,electric_bike,21.18,Pune,2024-03-29 22:26:00,444.78
R000135,diesel_car,23.88,Pune,2024-05-14 16:47:00,4083.48
R000136,electric_bike,8.92,Delhi,2024-06-19 23:57:00,187.32
R000137,bus,14.38,Chennai,2024-02-26 02:56:00,1509.9
R000138,petrol_car,38.93,Delhi,2024-03-31 11:15:00,7474.56
R000139,diesel_car,39.48,Pune,2024-06-17 21:03:00,6751.08
R000140,bus,44.46,Bangalore,2024-08-31 12:03:00,4668.3
R000141,electric_bike,3.75,Mumbai,2024-05-06 02:25:00,78.75
R000142,diesel_car,31.33,Bangalore,2024-06-15 17:12:00,5357.43
R000143,diesel_car,34.36,Chennai,2024-10-30 10:22:00,5875.56
R000144,bus,16.14,Chennai,2024-02-14 07:06:00,1694.7
R000145,petrol_car,42.67,Pune,2024-08-25 06:11:00,8192.64
R000146,petrol_car,39.91,Pune,2024-04-02 21:11:00,7662.72
R000147,electric_bike,33.96,Mumbai,2024-05-06 08:23:00,713.16
R000148,petrol_car,22.66,Delhi,2024-07-21 12:31:00,4350.72
R000149,petrol_car,7.36,Delhi,2024-03-08 10:32:00,1413.12
R000150,electric_bike,28.64,Delhi,2024-06-28 08:58:00,601.44
R000151,electric_bike,23.31,Delhi,2024-03-21 21:02:00,489.51
R000152,electric_bike,49.35,Bangalore,2024-11-28 20:39:00,1036.35
R000153,bus,26.97,Pune,2024-05-04 23:15:00,2831.85
R000154,bus,21.61,Bangalore,2024-05-12 08:45:00,2269.05
R000155,petrol_car,22.76,Delhi,2024-04-18 07:14:00,4369.92
R000156,petrol_car,22.94,Delhi,2024-09-16 22:03:00,4404.48
R000157,petrol_car,44.35,Delhi,2024-06-29 04:05:00,8515.2
R000158,bus,9.9,Delhi,2024-07-10 17:38:00,1039.5
R000159,diesel_car,31.5,Bangalore,2024-11-11 16:18:00,5386.5
R000160,bus,6.31,Bangalore,2024-10-20 19:34:00,662.55
R000161,diesel_car,24.02,Chennai,2024-06-02 22:55:00,4107.42
R000162,electric_bike,15.54,Pune,2024-08-07 06:21:00,326.34
R000163,petrol_car,16.72,Delhi,2024-04-23 18:27:00,3210.24
R000164,petrol_car,22.25,Pune,2024-05-26 13:42:00,4272.0
R000165,electric_bike,24.83,Pune,2024-02-10 07:25:00,521.43
R000166,petrol_car,5.43,Bangalore,2024-12-15 05:15:00,1042.56
R000167,petrol_car,37.23,Chennai,2024-05-30 09:44:00,7148.16
R000168,diesel_car,29.57,Delhi,2024-12-19 00:45:00,5056.47
R000169,bus,35.57,Pune,2024-03-12 09:47:00,3734.85
R000170,diesel_car,6.8,Chennai,2024-10-28 16:17:00,1162.8
R000171,petrol_car,34.32,Delhi,2024-08-18 20:43:00,6589.44
R000172,petrol_car,29.33,Chennai,2024-11-25 04:59:00,5631.36
R000173,bus,22.86,Mumbai,2024-10-04 07:53:00,2400.3
R000174,diesel_car,18.83,Chennai,2024-04-13 14:42:00,3219.93
R000175,petrol_car,21.78,Mumbai,2024-07-14 20:59:00,4181.76
R000176,petrol_car,49.71,Chennai,2024-12-23 19:19:00,9544.32
R000177,bus,30.21,Mumbai,2024-11-07 00:57:00,3172.05
R000178,bus,42.86,Pune,2024-10-31 00:06:00,4500.3
R000179,bus,19.98,Pune,2024-01-09 17:35:00,2097.9
R000180,diesel_car,3.61,Mumbai,2024-09-13 16:45:00,617.31
